contigsID	family (ICTV taxonomic)	genus (ICTV taxonomic)	species (ICTV taxonomic)	viral_genome	viral_type	Family level (Host)
contigs_cluasted6373;size=1	Virgaviridae	Tobamovirus	Tobacco mosaic virus	RNA virus	Bacteriophage	No host predicted
contigs_cluasted7180;size=2	Virgaviridae	Tobamovirus	Tomato mosaic virus	RNA virus	Bacteriophage	No host predicted
contigs_cluasted7133;size=1	Virgaviridae	Tobamovirus	Tomato mosaic virus	RNA virus	Bacteriophage	No host predicted
contigs_cluasted1000002961;size=1	Virgaviridae	NA	Virgaviridae sp.	RNA virus	Bacteriophage	No host predicted
contigs_cluasted1000003590;size=1	Virgaviridae	Tobamovirus	Tomato mosaic virus	RNA virus	Bacteriophage	No host predicted
contigs_cluasted16;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted15;size=3	Other phage	Other phage	virus sp. ctML55	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1265;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted1418;size=1	Other phage	Other phage	Escherichia phage Gally	DNA virus	Bacteriophage	Enterobacteriaceae
contigs_cluasted299;size=1	Other phage	Other phage	Colneyvirus CD27	DNA virus	Bacteriophage	Peptostreptococcaceae
contigs_cluasted6094;size=1	unclassified CRESS virus	unclassified CRESS virus	CRESS virus SC_1_H1_2017	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted93;size=1	Other phage	Other phage	Caudovirales sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted286;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted39;size=2	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Ruminococcaceae
contigs_cluasted4281;size=1	Other phage	Other phage	Streptococcus satellite phage Javan608	DNA virus	Bacteriophage	Streptococcaceae
contigs_cluasted6168;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1211;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Lachnospiraceae
contigs_cluasted4645;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted5718;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted6050;size=1	unclassified CRESS virus	unclassified CRESS virus	CRESS virus sp.	DNA virus	Eukaryotic virus	No host predicted
contigs_cluasted8016;size=2	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted1019;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted7264;size=1	Other phage	Other phage	Parabacteroides phage SC_7_H3_2017	DNA virus	Bacteriophage	Tannerellaceae
contigs_cluasted6646;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted30;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted5455;size=2	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	Bacteroidaceae
contigs_cluasted8369;size=1	Other phage	Other phage	Bacteriophage sp.	DNA virus	Bacteriophage	No host predicted
contigs_cluasted5978;size=1	unclassified CRESS virus	unclassified CRESS virus	CRESS virus SC_1_H1_2017	DNA virus	Eukaryotic virus	No host predicted
