contigsID	Family level (ICTV taxonomic)	Family level (Host)	Genus (Host)	log2FoldChange	enrichment
contigs_cluasted1;size=4	Siphoviridae	No predicted host	No predicted host	-1.664175637	HC_enriched
contigs_cluasted10;size=2	No classification	Ruminococcaceae	Ruminococcus	-1.21841616	HC_enriched
contigs_cluasted10000010;size=1	Siphoviridae	Lachnospiraceae	Anaerostipes	-4.216788716	HC_enriched
contigs_cluasted10000011;size=1	Siphoviridae	Rikenellaceae	Alistipes	-3.458047236	HC_enriched
contigs_cluasted100000110;size=1	Podoviridae	Ruminococcaceae	Subdoligranulum	-1.604942925	HC_enriched
contigs_cluasted10000012;size=1	No classification	Lachnospiraceae	Lachnospira	2.040999172	RA_enriched
contigs_cluasted1000001310;size=1	Siphoviridae	No predicted host	No predicted host	1.380807906	RA_enriched
contigs_cluasted1000001471;size=1	No classification	No predicted host	No predicted host	1.744457421	RA_enriched
contigs_cluasted1000001488;size=1	No classification	No predicted host	No predicted host	-1.132494556	HC_enriched
contigs_cluasted10000015;size=1	Siphoviridae	Lachnospiraceae	Blautia	-3.885714024	HC_enriched
contigs_cluasted1000001583;size=1	Myoviridae	No predicted host	No predicted host	-1.195509713	HC_enriched
contigs_cluasted10000018;size=1	Siphoviridae	No predicted host	No predicted host	1.292641817	RA_enriched
contigs_cluasted1000001930;size=1	Siphoviridae	No predicted host	No predicted host	-2.623647345	HC_enriched
contigs_cluasted1000002004;size=1	No classification	No predicted host	No predicted host	1.660502834	RA_enriched
contigs_cluasted1000002078;size=1	No classification	No predicted host	No predicted host	1.159382153	RA_enriched
contigs_cluasted1000002097;size=1	Myoviridae	No predicted host	No predicted host	-1.162428726	HC_enriched
contigs_cluasted1000002198;size=1	crAss-like phage	No predicted host	No predicted host	-4.056450469	HC_enriched
contigs_cluasted10000022;size=1	Siphoviridae	No predicted host	No predicted host	-1.029021884	HC_enriched
contigs_cluasted1000002264;size=1	Siphoviridae	No predicted host	No predicted host	2.006400497	RA_enriched
contigs_cluasted100000258;size=1	Microviridae	No predicted host	No predicted host	-5.532588539	HC_enriched
contigs_cluasted100000259;size=1	Microviridae	Bacteroidaceae	Bacteroides	3.620915962	RA_enriched
contigs_cluasted1000002591;size=1	Siphoviridae	No predicted host	No predicted host	5.090498276	RA_enriched
contigs_cluasted1000002702;size=1	Myoviridae	No predicted host	No predicted host	-3.243948322	HC_enriched
contigs_cluasted1000002838;size=1	Microviridae	No predicted host	No predicted host	1.408843734	RA_enriched
contigs_cluasted1000002842;size=1	Podoviridae	No predicted host	No predicted host	1.607684376	RA_enriched
contigs_cluasted1000002977;size=1	crAss-like phage	No predicted host	No predicted host	1.240117482	RA_enriched
contigs_cluasted10000030;size=1	Siphoviridae	Bacteroidaceae	Bacteroides	1.825983361	RA_enriched
contigs_cluasted1000003033;size=1	Siphoviridae	Lachnospiraceae	Blautia	6.122124398	RA_enriched
contigs_cluasted1000003089;size=1	Siphoviridae	No predicted host	No predicted host	2.046613648	RA_enriched
contigs_cluasted1000003100;size=1	Microviridae	No predicted host	No predicted host	-3.563638373	HC_enriched
contigs_cluasted1000003115;size=1	No classification	No predicted host	No predicted host	2.15514957	RA_enriched
contigs_cluasted1000003118;size=1	Microviridae	No predicted host	No predicted host	-4.021431949	HC_enriched
contigs_cluasted1000003227;size=1	Microviridae	No predicted host	No predicted host	-6.169181622	HC_enriched
contigs_cluasted100000327;size=1	Microviridae	Ruminococcaceae	Faecalibacterium	-1.320377017	HC_enriched
contigs_cluasted1000003272;size=1	Siphoviridae	No predicted host	No predicted host	-2.13403136	HC_enriched
contigs_cluasted1000003275;size=1	Siphoviridae	No predicted host	No predicted host	2.536645004	RA_enriched
contigs_cluasted100000331;size=1	Microviridae	No predicted host	No predicted host	-1.388355872	HC_enriched
contigs_cluasted100000334;size=1	Microviridae	No predicted host	No predicted host	-2.349833794	HC_enriched
contigs_cluasted10000034;size=1	Siphoviridae	Ruminococcaceae	Ruminococcus	-1.395732571	HC_enriched
contigs_cluasted1000003411;size=1	Myoviridae	No predicted host	No predicted host	-1.962669839	HC_enriched
contigs_cluasted1000003412;size=1	Siphoviridae	No predicted host	No predicted host	6.743488119	RA_enriched
contigs_cluasted1000003478;size=1	No classification	Bifidobacteriaceae	Bifidobacterium	-3.696736257	HC_enriched
contigs_cluasted1000003531;size=1	Microviridae	No predicted host	No predicted host	-5.726185	HC_enriched
contigs_cluasted1000003570;size=1	Microviridae	No predicted host	No predicted host	-6.683471414	HC_enriched
contigs_cluasted10000036;size=1	Myoviridae	Ruminococcaceae	Ruminococcus	-2.390400198	HC_enriched
contigs_cluasted10000040;size=1	Siphoviridae	Lachnospiraceae	Anaerostipes	1.198498237	RA_enriched
contigs_cluasted100000403;size=1	Microviridae	Bacteroidaceae	Bacteroides	-1.467227921	HC_enriched
contigs_cluasted10000041;size=1	Siphoviridae	Ruminococcaceae	Ruminococcus	-2.240355742	HC_enriched
contigs_cluasted100000465;size=1	Siphoviridae	No predicted host	No predicted host	2.002941542	RA_enriched
contigs_cluasted10000048;size=1	Siphoviridae	Ruminococcaceae	Faecalibacterium	-1.827347847	HC_enriched
contigs_cluasted10000051;size=1	Siphoviridae	Ruminococcaceae	Ruminococcus	-2.663660079	HC_enriched
contigs_cluasted10000057;size=1	Myoviridae	Ruminococcaceae	Ruminococcus	-2.556878888	HC_enriched
contigs_cluasted100000583;size=1	Microviridae	Acidaminococcaceae	Phascolarctobacterium	-4.158144321	HC_enriched
contigs_cluasted100000624;size=1	Microviridae	Bacteroidaceae	Bacteroides	1.273881779	RA_enriched
contigs_cluasted10000063;size=2	Siphoviridae	No predicted host	No predicted host	-1.305603013	HC_enriched
contigs_cluasted10000064;size=1	Myoviridae	No predicted host	No predicted host	-1.036298229	HC_enriched
contigs_cluasted10000065;size=1	Myoviridae	No predicted host	No predicted host	1.76439684	RA_enriched
contigs_cluasted100000675;size=1	Microviridae	No predicted host	No predicted host	-3.378869895	HC_enriched
contigs_cluasted1000007;size=1	No classification	Lachnospiraceae	Anaerostipes	-1.888975041	HC_enriched
contigs_cluasted100000702;size=1	Microviridae	Bacteroidaceae	Bacteroides	-1.931356739	HC_enriched
contigs_cluasted100000720;size=1	Microviridae	Prevotellaceae	Prevotella	1.577976126	RA_enriched
contigs_cluasted1000008;size=1	Siphoviridae	Erysipelotrichaceae	Eubacterium	2.043058412	RA_enriched
contigs_cluasted1000009;size=1	No classification	Ruminococcaceae	Flavonifractor	-1.218303528	HC_enriched
contigs_cluasted100000933;size=1	No classification	No predicted host	No predicted host	-1.079209662	HC_enriched
contigs_cluasted1004;size=3	Siphoviridae	Bifidobacteriaceae	Bifidobacterium	-2.126534223	HC_enriched
contigs_cluasted1005;size=1	Siphoviridae	Ruminococcaceae	Faecalibacterium	1.625287066	RA_enriched
contigs_cluasted1014;size=1	Siphoviridae	Ruminococcaceae	Ruminococcus	-2.459207215	HC_enriched
