SampleID	Shannon index-virome	Simpson index-virome	S.chao1(Richness)-virome	Shannon index-16s	Simpson index-16s	S.chao1(Richness)-16s
DH1A	3.956074418	0.946416395	1656.644231	7.84	0.980184	1628.57
DH1B	5.068665628	0.978986281	1731	8.33	0.986706	2155.45
DH2A	4.13429224	0.958665674	1724.913043	7.2	0.967604	1632.38
DH2B	4.506568242	0.97657621	1742.358974	7.82	0.980864	2000.51
DH3A	4.711432406	0.907173825	1736.913043	3.14	0.602031	444.77
DH3B	2.884822509	0.886945676	1583.005618	6.8	0.928161	1306.27
DH4A	5.028919613	0.979477454	1714.568182	7.83	0.987994	933
DH4B	3.129862366	0.864106774	1760	6.88	0.947846	1108
DH5A	5.387407079	0.981872871	1758.9375	5.79	0.933666	1023.71
DH5B	1.530788408	0.602591561	1754.292683	5.19	0.883379	945.38
DH6A	2.910564748	0.79713727	1749.875	7.56	0.969861	1958.87
DH6B	4.321470261	0.958312059	1700.979167	8.7	0.987371	2241.55
DH7A	3.628531988	0.893177249	1755.456311	7.59	0.968973	1332.2
DH7B	5.138508536	0.975614604	1787.75	8.34	0.988358	2246.8
DH8A	4.421099488	0.947108541	1744.568182	8.83	0.989108	2068.51
DH8B	2.143783827	0.684167931	1741.480392	7.99	0.973787	1877.37
DH9A	3.217346995	0.887286684	1786.733333	6.88	0.969923	1005.98
DH9B	4.582045989	0.944856046	1742.12766	7.19	0.962796	1734
DR10A	3.856675674	0.929308214	1822.285714	6.94	0.958522	1310.94
DR10B	4.771804225	0.975498819	1747.153846	7.41	0.977412	1475.48
DR1A	3.271720114	0.810321693	1747.28	5.75	0.835582	945.33
DR1B	5.045111704	0.981485295	1741.238636	5.95	0.931114	663.26
DR2A	3.494114372	0.864507629	1733.958763	8.03	0.979349	1468.89
DR2B	4.433463929	0.952854289	1740.019608	6.88	0.949261	1416.16
DR3A	2.281099118	0.834360997	1425.39011	5.82	0.900179	718.94
DR3B	2.933908095	0.832006079	1735.888889	6.23	0.903881	1323.42
DR4A	2.026282909	0.704835527	1654.464789	6.1	0.948306	849.8
DR4B	4.950708191	0.924069727	1760.772727	7.39	0.979191	1387.67
DR5A	3.600634772	0.889881434	1746.346154	6.34	0.951853	837.33
DR5B	3.527387024	0.838581153	1748.808824	5.99	0.932547	1135.49
DR6A	4.741088001	0.966876172	1742.603448	7.97	0.984177	1525.76
DR6B	2.985402795	0.759356058	1747.4	7.2	0.959826	1598.57
DR7A	2.732742514	0.823755693	1805.280374	7.8	0.964741	1335.15
DR7B	3.044642407	0.889524147	1784.165138	5.96	0.87739	887.59
DR8A	5.653303951	0.983716218	1768.115385	6.99	0.960131	1670.49
DR8B	6.227801118	0.994788862	1749.571429	6.85	0.951487	1273.96
DR9A	5.284364931	0.975475797	1743.307692	7.15	0.973708	1278.24
DR9B	3.805921326	0.922555226	1695.162162	7.88	0.982329	1493.74
SH10B	3.127587609	0.894487607	1542.308219	7.45	0.960747	1453.1
SH11B	3.633728702	0.904422345	1658.478723	8.06	0.986993	1755.88
SH1B	3.93611588	0.941306689	1687.608247	8.39	0.976944	1602
SH2B	3.568666503	0.916588874	1459.723404	7.89	0.979479	1377.2
SH3B	2.47602123	0.820580338	1660.603448	7.48	0.979797	1083.02
SH4B	4.433598375	0.875192491	1758.5	3.43	0.805036	189.6
SH5B	3.10900954	0.841643719	1727.553191	8.18	0.980348	2001.51
SH6B	3.086778219	0.870323554	1743.745614	7.83	0.981579	1745.24
SH7B	3.782724824	0.954191727	1450.783784	7.43	0.979271	1498.73
SH8B	5.191337549	0.975125904	1770.5	7.88	0.977637	1923
SH9B	3.555012674	0.939434554	1386.644068	8.08	0.977059	2031
SR10A	3.203793893	0.861817812	1718.8	4.23	0.72633	741.73
SR11A	4.193178079	0.949765736	1713.584416	5.53	0.913321	786.88
SR1A	3.800316855	0.918776598	1714.752577	6.44	0.940362	1190.78
SR2A	1.452840862	0.699596905	1372.762295	7.55	0.967721	1542.33
SR3A	2.711942207	0.868528571	1761.655172	7.89	0.978762	1615.8
SR4A	1.640315765	0.63422924	1374.297872	4.88	0.869908	815.21
SR5A	3.334199012	0.917333987	1664.772727	8.18	0.981187	1866.55
SR6A	6.091741173	0.994049285	1747.166667	7.03	0.935507	1522.56
SR7A	2.320884294	0.843437568	1402.38806	7.75	0.981627	1858.5
SR8A	1.854681839	0.534390593	1739.009434	5.07	0.869929	768.25
SR9A	4.189326231	0.903220762	1730.136986	6.75	0.940983	1444.06
