	f__Lachnospiraceae	f__Bifidobacteriaceae	f__Ruminococcaceae	f__Prevotellaceae	f__Bacteroidaceae	f__Streptococcaceae	f__Fusobacteriaceae	f__Oscillospiraceae	f__Butyricicoccaceae	f__Clostridia_UCG-014	f__Pasteurellaceae	f__Victivallaceae	f__Clostridiaceae	f__Coriobacteriaceae	f__Eggerthellaceae	f__Peptostreptococcaceae	f__Erysipelatoclostridiaceae	f__Enterobacteriaceae	f__Rhizobiaceae	f__Selenomonadaceae	f__Sutterellaceae	f__Christensenellaceae	f__Lactobacillaceae	f__Veillonellaceae	f__Atopobiaceae	f__Coriobacteriales_Incertae_Sedis	f__Anaerovoracaceae	f__Acidaminococcaceae	f__Saccharimonadaceae	Microviridae	Siphoviridae	Podoviridae	crAss-like phage	Myoviridae	Other phage	Inoviridae	Herelleviridae	Straboviridae
HC	6423	571	3708	11	171	6	0	82	20	0	6	0	25	4	13	29	0	0	0	0	2	0	0	0	0	0	0	0	0	669053	12867641	683712	34193	2932251	1825384	136109	7167	155
HC	9335	61	968	4030	28	7	0	57	22	8	0	0	23	2	13	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2166024	8279484	778763	2500709	1599416	1923149	248001	27752	103
HC	7982	3238	1518	10	578	0	0	95	31	0	0	0	4	3	54	4	0	2	4	2	0	0	0	0	0	0	0	0	0	1080819	19888293	9696663	2207144	2648099	3319923	839827	56590	132
HC	6756	2469	2728	1090	75	2	0	43	8	0	8	0	0	3	0	17	0	3	43	3	0	2	0	2	0	2	0	0	0	2071709	24892651	1043428	4885171	6865499	3295537	2043391	113762	162
HC	3284	13046	4	8	176	22	0	0	0	0	0	0	0	2	0	10	2	2	0	3	0	0	0	0	0	0	0	0	0	159443	1910924	245187	88968	540469	333855	1402434	13661	868
HC	15682	1707	193	16	871	2	3	165	20	0	0	0	0	6	19	4	0	3	3	2	2	0	2	2	0	0	0	0	0	47689643	1758688	100613	11141	682411	1746050	80570	1131	136
HC	3806	235	1892	15	409	8	0	249	7	0	0	0	2	5	17	2	2	6	0	4	3	2	0	0	0	0	5	0	0	1037124	8099107	601425	1828644	2213422	3221624	356363	24538	838
HC	15954	1139	481	88	121	24	3	29	0	0	0	0	0	7	0	0	6	0	0	4	4	0	5	0	10	0	0	0	0	5713813	4029557	491529	94588	10906157	593086	178713	14709	25
HC	4212	6707	664	14	22	5	3	0	0	0	0	0	0	0	0	2	11	5	0	5	2	0	0	2	0	0	0	2	0	771193	3930694	284423	106750	1180464	814167	55852	15325	745
HC	2335	5875	49	7	2488	5	4060	197	0	0	0	0	12	3	2	6	0	3	0	0	0	0	2	13	0	0	0	0	0	34490697	1803006	167097	101088	706736	660619	35360	15825	341
HC	8974	3812	1769	14	107	0	0	167	8	0	0	15	3	6	2	0	0	5	0	2	3	0	4	0	0	0	0	0	0	8236661	7611649	1801431	39754877	2607805	1069023	175145	803482	442
HC	9084	465	3534	14	955	21	0	119	39	81	0	2	32	4	38	2	0	3	0	2	0	0	2	0	0	2	0	0	0	2199971	6072426	1537870	38477	2055196	6346752	2013975	3013	6
HC	6920	305	2278	1445	36	2	4	198	20	0	0	7	0	7	9	0	2	1	0	6	2	0	0	0	0	0	0	0	0	4563308	11559527	1244375	1662941	1142493	1509706	51763	248955	16
HC	7412	1594	1837	29	757	21	0	28	25	0	9	0	9	6	0	0	2	14	0	3	5	0	0	0	0	0	0	0	0	1181068	4891168	450627	1171867	1061330	1929399	162004	27515	743
HC	2857	8132	7217	13	29	205	0	12	0	0	101	0	0	8	0	0	41	7	0	5	2	0	5	0	0	0	0	0	0	2874211	9936268	352061	350161	1870108	1974152	258801	22219	205
HC	5091	26	1849	3502	107	16	0	160	12	79	0	15	0	5	11	4	2	5	0	4	2	0	0	0	0	0	0	0	0	2778469	1699610	27789337	247115	1647582	479534	72974	6677	77
HC	6312	53	2159	11	264	14	0	39	37	0	0	0	18	3	30	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1505775	15752308	21698882	1238517	3777266	2954874	94735	19817	66
HC	10613	208	1753	2197	16	7	0	85	17	0	0	4	0	6	0	12	0	3	13	4	0	0	0	0	0	0	0	0	0	16761277	7221549	2117570	2518567	1700524	1228546	226395	46010	379
HC	8879	233	693	0	131	0	0	30	0	0	0	0	4	3	5	10	3	0	0	0	0	0	0	0	0	0	0	0	0	8669612	1808778	874327	1908928	560219	1431639	8301	1868	6
HC	4391	116	3730	396	107	4	0	164	27	266	0	41	16	2	5	1	3	2	0	2	0	20	0	0	0	0	0	0	0	2385941	708479	744942	606225	210796	1635697	210986	3944	48
HC	6414	569	1533	17	51	2	4	164	17	13	0	31	31	2	13	4	3	0	0	0	2	0	0	0	0	0	2	2	0	21885393	10278062	2480183	1997233	2984830	3800508	584048	29271	57
HC	7522	340	85	10	169	259	334	2	40	0	0	0	23	0	0	23	0	3	0	0	0	0	0	0	0	0	0	2	0	13063407	6936938	30476777	63269	1526101	538991	13660	16777	412
HC	24	13113	17	25	16	6729	2	0	0	0	317	0	0	3	0	5	2	3	2	0	3	0	0	0	0	0	0	0	2	2249739	1677273	393654	146310	495379	370656	55027	20057	74
HC	12262	6	786	0	123	0	0	114	6	0	0	0	0	0	9	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1230746	11941364	675619	28563589	3363191	1440031	940158	2659281	170
HC	9898	2230	1388	1501	418	22	0	41	15	0	4	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17090236	12807717	350571	121494	3714892	1129899	69677	14937	269
HC	7211	442	5147	0	34	2	0	672	19	0	0	318	0	0	30	0	4	0	4	0	0	0	0	0	0	5	0	0	0	17315385	12105245	5872668	28620	2572570	3397303	332799	11423	18
HC	4760	2191	3684	0	1372	3	0	76	89	0	0	0	55	3	9	51	0	0	0	0	4	2	0	0	0	0	0	0	0	1578226	4733088	316031	482190	4468605	1116983	118332	31936	960
HC	7671	4260	3317	0	420	0	0	380	4	0	0	0	67	52	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	16072277	7248083	213362	8144	1299954	620683	7630318	2916	29
	f__Lachnospiraceae	f__Bifidobacteriaceae	f__Ruminococcaceae	f__Prevotellaceae	f__Bacteroidaceae	f__Streptococcaceae	f__Fusobacteriaceae	f__Oscillospiraceae	f__Butyricicoccaceae	f__Clostridia_UCG-014	f__Pasteurellaceae	f__Victivallaceae	f__Clostridiaceae	f__Coriobacteriaceae	f__Eggerthellaceae	f__Peptostreptococcaceae	f__Erysipelatoclostridiaceae	f__Enterobacteriaceae	f__Rhizobiaceae	f__Selenomonadaceae	f__Sutterellaceae	f__Christensenellaceae	f__Veillonellaceae	f__Atopobiaceae	f__Coriobacteriales_Incertae_Sedis	f__Anaerovoracaceae	f__Acidaminococcaceae	f__Saccharimonadaceae	f__Chloroplast	f__Thermaceae	f__[Eubacterium]_coprostanoligenes_group	Microviridae	Siphoviridae	Podoviridae	crAss-like phage	Myoviridae	Other phage	Inoviridae	Herelleviridae	Straboviridae
RA	1837	1434	4654	4172	41	4	0	180	22	42	0	27	19	2	3	8	2	0	4	2	3	0	0	0	0	0	0	0	0	0	29	19871829	4259095	1520928	637028	1514114	1658267	1479385	6156	92
RA	4043	142	2196	4463	18	33	0	0	22	0	0	0	197	0	3	62	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	924737	12024241	300225	230134	2310201	2217857	639011	15096	170
RA	6912	11610	6	12	29	44	3	126	0	0	12	0	0	3	0	5	181	2	0	0	0	0	2	0	0	0	0	0	0	0	0	204734	17372634	631287	196262	1934255	687685	98469	16352	518
RA	1486	6183	23	22	23	11	276	48	2	0	0	8	0	6	8	0	9	0	0	3	2	0	0	0	0	0	0	0	0	0	0	284967	3732041	912507	1505459	1496414	844996	24065	10667	123
RA	5595	1837	2330	367	99	0	0	273	10	451	0	21	2	7	3	14	0	0	0	2	2	35	0	0	0	0	0	0	0	0	0	8606474	4953557	1611894	142189	10467986	1696530	55746	21450	93
RA	4518	5905	977	14	28	2	0	43	20	0	0	0	3	6	7	13	2	3	0	4	7	0	0	0	0	0	0	0	0	0	0	702308	8840403	446524	111978	1331110	4395126	327304	28333	1836
RA	3318	6988	1576	11	155	6	3	167	26	40	0	0	0	2	12	0	7	0	0	0	0	0	0	0	0	38	0	0	0	0	0	57441706	1461864	867067	777286	359655	289856	7813	2363	18
RA	4155	7850	945	19	802	176	2	301	11	0	0	0	0	5	3	6	11	0	0	2	3	0	0	0	0	0	3	0	14	0	0	20145512	2182482	1096400	168120	1180418	495023	65811	27914	1652
RA	3476	7112	16	21	1941	9	0	8	0	0	4	0	0	3	5	0	11	2	0	2	4	0	0	0	0	0	0	0	0	0	0	54540840	4127958	730190	68437	595153	1582496	30120	23404	1433
RA	6638	106	2678	5434	36	2	6	78	182	0	0	0	0	5	0	0	3	0	0	3	5	0	0	0	0	0	0	0	0	0	0	1506569	4193616	493055	236078	4341739	790225	100146	35176	463
RA	6436	93	4321	13	304	0	1104	95	3	0	0	0	0	0	24	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	7107196	5223064	1008738	160373	3875514	11731596	170966	3214872	2058
RA	3320	6905	291	16	123	3	22	0	8	0	0	0	4	4	0	57	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	642463	3091800	258140	8320249	907527	846182	63263	20004	477
RA	7435	68	1803	8	792	2	2	22	15	0	4	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3889958	12245430	292909	186637	2683355	1980956	509392	25334	479
RA	13586	56	2479	759	76	5	7	382	23	0	0	0	0	191	22	3	2	0	4	0	0	0	0	2	0	12	4	0	0	0	0	20476039	2527927	279099	4261262	1795135	2326877	110783	17123	217
RA	9124	32	2140	16	305	2	9	388	0	0	0	0	0	5	16	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	17887341	6061740	1223615	2607355	25581746	3741788	198600	7330	107
RA	7230	38	45	12	767	0	9272	108	2	0	0	0	0	3	50	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	12635665	2451067	2833744	102542	13438925	386749	36795	21459	635
RA	4763	122	3951	6274	22	29	4	9	24	0	0	0	140	0	0	119	8	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2213404	4798955	855408	332113	1410304	1166701	102143	34738	293
RA	8121	1780	195	8	4715	7	4	77	0	0	0	0	13	0	3	5	17	0	0	2	0	0	0	0	0	0	0	3	0	0	0	902848	3016037	414894	172395	1014224	698408	139670	27853	3080
RA	13045	1456	515	21	1890	10	115	36	0	0	0	0	117	5	16	120	5	0	3	2	2	2	0	0	0	0	5	2	0	10	0	1301327	2811292	1026320	105594	580858	519751	85259	11810	703
RA	3965	77	1741	5007	201	2	3	79	7	0	7	0	4	3	6	14	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4194828	17559983	21396414	333244	5827334	21339483	438247	12938	152
RA	1578	14292	623	342	118	23	0	434	7	0	0	0	0	4	10	3	0	2	5	0	0	2	0	927	4	0	0	0	0	0	0	2927034	1559353	160975	2316615	385412	347287	7507785	11484	217
RA	7597	3602	3643	12	24	3	4	48	7	0	8	0	58	3	35	47	30	0	0	0	2	0	0	0	0	0	3	0	0	0	0	559112	3378345	456517	55079	1438133	8950182	75071	4652	28
RA	6668	1941	4092	11	343	5	857	127	479	0	4	0	22	3	28	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	36128570	2743068	1104689	94937	2446043	741927	493737	17629	279120
RA	3141	14177	5691	10	1237	52	3	0	0	0	0	0	0	4	0	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	0	37909217	2297523	58014	20853	1497362	466844	45341	1469	6
RA	10287	267	1369	0	562	20	110	139	17	0	0	0	0	0	43	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38235447	32541275	3382654	159400	4813964	2890387	1353149	6926	160
RA	8237	123	5650	0	94	57	9	7	30	0	2	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	355277	1785574	565317	96140	766660	501252	154068	12369	62
RA	7284	1683	3735	0	11	55	0	309	13	109	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	31383407	3397866	37956731	9692	1360297	189431	1958889	4874	17
RA	4942	8104	4502	0	2200	39	0	5	5	0	3	0	0	2	0	14	21	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1362300	24786683	3216466	3101631	719401	477284	31085	12444	262
