OTUID	SH4B	DH10A	SH5B	DH10B	SH6B	DH1A	SH7B	DH1B	SH9B	DH2A	SH8B	DH2B	SR7A	DH3A	SR6A	DH3B	SR8A	DH4A	SR9A	DH4B	DH5A	DH5B	DH6A	DH6B	DH7A	DH7B	DH8A	DH8B	DH9A	DH9B	DR10A	DR10B	DR1A	DR1B	DR2A	DR2B	DR3A	DR3B	DR4A	DR4B	DR5A	DR5B	DR6A	DR6B	DR7A	DR7B	DR8A	DR8B	DR9A	DR9B	SH10B	SH1B	SH2B	SH3B	SR10A	SR1A	SR2A	SR3A	SR4A	SR5A
687799ddafdd28e400781a93aaf9c530	3851.0	0.0	2.0	0.0	42.0	136.0	1.0	5.0	0.0	1388.0	0.0	1199.0	0.0	0.0	1.0	213.0	0.0	3.0	0.0	321.0	4.0	0.0	1047.0	0.0	152.0	388.0	0.0	0.0	0.0	0.0	947.0	0.0	0.0	0.0	1180.0	0.0	0.0	4097.0	1240.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	55.0	0.0	0.0	0.0	5.0	0.0	0.0	2.0	6341.0	0.0	0.0	0.0	3.0	0.0
fc84c2e0e7f2399653065ff74c03d488	3359.0	0.0	0.0	0.0	3.0	5.0	1.0	4.0	0.0	0.0	3.0	1.0	34.0	4.0	0.0	2.0	0.0	8.0	0.0	12.0	4.0	3.0	0.0	10.0	0.0	16.0	34.0	4.0	14.0	3.0	1.0	27.0	19.0	0.0	0.0	1.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	2.0	2.0	0.0	5.0	0.0	9.0	1.0	25.0	15.0
f33d74911935abbed1b38a10becb96aa	2528.0	99.0	0.0	57.0	53.0	0.0	57.0	20.0	337.0	180.0	181.0	280.0	138.0	7816.0	50.0	501.0	4290.0	3.0	458.0	271.0	1032.0	53.0	275.0	2.0	17.0	111.0	2678.0	2.0	22.0	42.0	137.0	46.0	0.0	585.0	118.0	413.0	285.0	1056.0	795.0	0.0	12.0	780.0	36.0	5.0	4.0	2.0	11.0	1194.0	2.0	43.0	164.0	41.0	55.0	23.0	92.0	1427.0	2207.0	119.0	3614.0	43.0
0ddf4857b020683a94b8af0829cf4e9a	317.0	12.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	5.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0
2ca611459d49443b4033a3f8a596d637	229.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	169.0	0.0	0.0	0.0	0.0	0.0	4.0	1760.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	20.0	0.0
88388b98d72967ea3ff39de5da406d66	190.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	119.0	0.0	0.0	0.0	0.0	0.0
6f09df01ba43eb3f35a166db3bf48d24	169.0	181.0	4.0	86.0	1269.0	293.0	146.0	12.0	2239.0	94.0	1233.0	302.0	868.0	3.0	17.0	233.0	3.0	185.0	1828.0	27.0	2876.0	3522.0	934.0	260.0	43.0	669.0	1946.0	4.0	7.0	91.0	39.0	62.0	2.0	3748.0	148.0	3357.0	4432.0	15.0	2897.0	52.0	32.0	3680.0	4.0	11.0	5.0	0.0	2.0	0.0	784.0	16.0	0.0	61.0	388.0	199.0	20.0	1171.0	0.0	1017.0	2867.0	162.0
651f45b2441099ce6bdce7afa8520cc3	173.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
e5579780c60a3e96fcf7a0ce09771ad4	160.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f7920f109d75e44f52d09ef897b96720	131.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	15.0	84.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	12.0	0.0	0.0	3.0
