,VC,Size,Internal Weight,External Weight,Quality,P-value,Min Dist,Max Dist,Total Dist,Below Thres,Taxon Prediction Score,Avg Dist,Genera,Families,Orders,Members
0,VC_100_0,2,53.146083678631584,37.259662508516655,0.5878617888802586,0.12078329348448641,2.449489742783178,2.449489742783178,1,1,1.0,2.449489742783178,1,1,1,"contigs_cluasted1884;size=1,contigs_cluasted972;size=1"
1,VC_101_0,8,6165.997943223442,969.711620753143,0.8641043876493283,3.595037454916508e-10,1.0,4.242640687119285,28,28,1.0,3.1490698059726703,1,1,1,"Arthrobacter~phage~BarretLemon,Arthrobacter~phage~Beans,Arthrobacter~phage~Brent,Arthrobacter~phage~Jawnski,Arthrobacter~phage~Martha,Arthrobacter~phage~Piccoletto,Arthrobacter~phage~Shade,Arthrobacter~phage~Sonny"
2,VC_102_0,3,812.6919961249914,969.711620753143,0.45595284279573833,0.003027798816879976,2.6457513110645907,5.0,3,3,1.0,4.181576932210316,2,1,1,"Arthrobacter~phage~Colucci,Arthrobacter~phage~PrincessTrina,Arthrobacter~phage~vB_ArtM-ArV1"
3,VC_103_0,3,68.39466656255793,153.28408849365144,0.30853054251958256,0.008660243637240262,2.449489742783178,3.605551275463989,3,3,1.0,2.9002641097705855,1,1,1,"contigs_cluasted2308;size=2,contigs_cluasted2705;size=1,contigs_cluasted2791;size=1"
4,VC_106_0,4,1494.4869748742638,2317.106155432562,0.3920898489902464,1.4836852310488525e-05,1.7320508075688772,2.23606797749979,6,6,1.0,1.90537006670107,1,1,1,"Lactococcus~phage~P078,Lactococcus~phage~P092,Lactococcus~phage~P118,Lactococcus~phage~P162"
5,VC_108_0,2,204.45055200141738,4166.641513108684,0.046773334662368306,0.043998281595384964,4.242640687119285,4.242640687119285,1,1,1.0,4.242640687119285,1,1,1,"contigs_cluasted187;size=1,contigs_cluasted292;size=1"
6,VC_108_1,4,1090.844077810609,8661.946235087984,0.11184943414275078,1.9558311074590364e-05,2.449489742783178,7.54983443527075,6,6,1.0,5.534064727349403,1,1,1,"contigs_cluasted212;size=3,contigs_cluasted224;size=1,contigs_cluasted249;size=1,contigs_cluasted946;size=1"
7,VC_108_2,32,19434.10188268361,26012.188369362815,0.4276279048279084,2.133113801327163e-55,1.4142135623730951,11.0,496,382,0.7701612903225806,7.7965462481723025,4,2,2,"Streptomyces~phage~Bing,Streptomyces~phage~DrGrey,Streptomyces~phage~Rima,Streptomyces~phage~Scap1,contigs_cluasted10000045;size=1,contigs_cluasted1012;size=2,contigs_cluasted1021;size=4,contigs_cluasted1089;size=1,contigs_cluasted143;size=5,contigs_cluasted1499;size=1,contigs_cluasted1589;size=2,contigs_cluasted195;size=5,contigs_cluasted196;size=3,contigs_cluasted198;size=2,contigs_cluasted211;size=2,contigs_cluasted219;size=3,contigs_cluasted231;size=5,contigs_cluasted279;size=4,contigs_cluasted324;size=1,contigs_cluasted368;size=1,contigs_cluasted443;size=4,contigs_cluasted644;size=1,contigs_cluasted676;size=1,contigs_cluasted746;size=3,contigs_cluasted762;size=1,contigs_cluasted794;size=1,contigs_cluasted853;size=2,contigs_cluasted868;size=2,contigs_cluasted891;size=1,contigs_cluasted930;size=1,contigs_cluasted951;size=1,contigs_cluasted957;size=1"
8,VC_108_3,1,0,2822.035109265726,0.0,0.0,0,0,1,1,1,0,1,1,1,contigs_cluasted182;size=2
9,VC_109_0,3,121.42050485268089,1984.0522166637836,0.05766899927595733,0.015796207383490468,3.872983346207417,5.5677643628300215,3,3,1.0,4.637627888012339,1,1,1,"contigs_cluasted1173;size=1,contigs_cluasted1251;size=1,contigs_cluasted1584;size=1"
